,PartyId,MonitoringLink,ExcludedFromDeliveryCount,LocalizationType_filial,LocalizationType_hz,LocalizationType_subnet,LocalizationType_empty,cnt
3496,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/716817d2-ba56-11ec-a9a1-b77980f7433d,,8.0,,,,8.0
3497,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/1b4c009d-ba4f-11ec-b57d-7484072acc3e,,8.0,,,,8.0
3498,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/0e8782d5-ba4f-11ec-ad8f-d2c51ec5e14c,,8.0,,,,8.0
3499,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/2faac106-b640-11ec-bdf3-9f5905c04f8a,,8.0,,,,8.0
3500,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f517a9ec-b62a-11ec-bae2-d53d153c6201,,8.0,,,,8.0
3501,bc60d2c7-5d69-42cf-aa2e-86121d244ffe,https://edi.kontur.ru/Monitoring/TaskChainList/Document/176bb032-c20f-11ec-8502-6489099c9e30,,,8.0,,,8.0
3502,bc60d2c7-5d69-42cf-aa2e-86121d244ffe,https://edi.kontur.ru/Monitoring/TaskChainList/Document/0d7584b2-b1ba-11ec-b663-3e0534e246da,,,8.0,,,8.0
3503,bdc24b45-520e-45fd-ac87-0e335dc84f8d,https://edi.kontur.ru/Monitoring/TaskChainList/Document/631bbc6d-c216-11ec-b157-bd5a23475247,,2.0,,,6.0,8.0
3504,bfcad350-8fb1-4ee5-9221-596e4faea262,https://edi.kontur.ru/Monitoring/TaskChainList/Document/20452a94-c216-11ec-aee6-866126a77cb3,,2.0,,,6.0,8.0
3505,bfcad350-8fb1-4ee5-9221-596e4faea262,https://edi.kontur.ru/Monitoring/TaskChainList/Document/32d1cbaf-c094-11ec-8d08-1613ac5638ee,,2.0,,,6.0,8.0
3506,d74f46c7-bb69-4d73-a47a-f9581a895d98,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f98458a5-bf12-11ec-8898-37bf01cb265f,,2.0,,,6.0,8.0
3507,deb85ef8-07da-4d05-a688-0d87dc608e02,https://edi.kontur.ru/Monitoring/TaskChainList/Document/d1d67fdf-bf12-11ec-b4bf-84e2f0de60a6,,2.0,,,6.0,8.0
3508,dfb88d05-3d8e-4e25-bb6d-7601de84b38d,https://edi.kontur.ru/Monitoring/TaskChainList/Document/376d4bbe-b677-11ec-82b6-2655a52ee202,,2.0,,,6.0,8.0
3509,dfb88d05-3d8e-4e25-bb6d-7601de84b38d,https://edi.kontur.ru/Monitoring/TaskChainList/Document/7da64fed-b676-11ec-a04e-298ed55512c4,,2.0,,,6.0,8.0
3510,dfb88d05-3d8e-4e25-bb6d-7601de84b38d,https://edi.kontur.ru/Monitoring/TaskChainList/Document/c760f68d-b3f3-11ec-b383-25c428f0128a,,2.0,,,6.0,8.0
3511,dfb88d05-3d8e-4e25-bb6d-7601de84b38d,https://edi.kontur.ru/Monitoring/TaskChainList/Document/250707e9-b3e8-11ec-ad1a-a9d008cbffd5,,2.0,,,6.0,8.0
3512,e1f6297b-917b-49d3-ae30-8aedcd809da2,https://edi.kontur.ru/Monitoring/TaskChainList/Document/491c21fe-b1a7-11ec-84d7-8d4a8a1d638f,,2.0,,,6.0,8.0
3513,e2e53b35-c008-4c99-a08a-fb56d2e98cd5,https://edi.kontur.ru/Monitoring/TaskChainList/Document/ecc0d9ea-b1a6-11ec-a557-571d863a8dfb,,2.0,,,6.0,8.0
3514,e2e53b35-c008-4c99-a08a-fb56d2e98cd5,https://edi.kontur.ru/Monitoring/TaskChainList/Document/ca5e6627-b190-11ec-8911-d8923701a891,,2.0,,,6.0,8.0
3515,e2e53b35-c008-4c99-a08a-fb56d2e98cd5,https://edi.kontur.ru/Monitoring/TaskChainList/Document/05604925-b181-11ec-9fcf-a14c6349c6bd,,2.0,,,6.0,8.0
3516,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/daf4de92-b4c6-11ec-9741-caeb02921cbb,,7.0,,1.0,,8.0
3517,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/553138d4-b4c4-11ec-b6b6-9f0d36d13036,,7.0,,1.0,,8.0
3518,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/7f1f1974-b49b-11ec-aa3c-a570fd15451e,,7.0,,1.0,,8.0
3519,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/73b830c2-b49a-11ec-bea1-9628fb03f200,,7.0,,1.0,,8.0
3520,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/bc390d70-b480-11ec-a84d-8ef061639bb2,,7.0,,1.0,,8.0
3521,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/e954f2d9-b4d6-11ec-a014-65bee6227da9,,8.0,,,,8.0
3522,e45d2bce-a93c-456d-811e-5f8a4b6d74e8,https://edi.kontur.ru/Monitoring/TaskChainList/Document/74af97fb-bbbc-11ec-910f-c2b2047d6973,,8.0,,,,8.0
3523,e5a14b6e-419f-44d9-be87-02804b3cc510,https://edi.kontur.ru/Monitoring/TaskChainList/Document/a5da72cd-bbb4-11ec-a719-d716b7d18c15,,8.0,,,,8.0
3524,e5a14b6e-419f-44d9-be87-02804b3cc510,https://edi.kontur.ru/Monitoring/TaskChainList/Document/55e11470-bbb4-11ec-8b3b-658d39bdd42f,,8.0,,,,8.0
3525,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f91ad383-bbb3-11ec-9cf5-7624213b43a3,,8.0,,,,8.0
3526,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/9b056047-bbb3-11ec-bd1c-bf39125b895c,,8.0,,,,8.0
3527,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/7eea58c0-bc79-11ec-aab5-cc3fad17c612,,8.0,,,,8.0
3528,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/ea943109-bc78-11ec-8ff5-601e9c3612c4,,8.0,,,,8.0
3529,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/b85c6724-bc78-11ec-bdf1-50dce0e42b4c,,8.0,,,,8.0
3530,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/d25cf33a-bc76-11ec-afdb-6995bb12449c,,8.0,,,,8.0
3531,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/4aab24a1-bc74-11ec-a007-a31fa00fbe72,,8.0,,,,8.0
3532,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/17ca8957-bc62-11ec-8741-94216cc2785c,,8.0,,,,8.0
3533,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/6a8ebfe5-b719-11ec-8061-8759ab3a61db,,,8.0,,,8.0
3534,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/091681be-c12d-11ec-af41-201fc34efc87,,8.0,,,,8.0
3535,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/9bd24afa-c12c-11ec-a5d9-2d1f7364e7cb,,8.0,,,,8.0
3536,e73e41bd-bbbd-4353-b289-1a4645b35366,https://edi.kontur.ru/Monitoring/TaskChainList/Document/d5582763-c092-11ec-abc0-d705626291f7,,8.0,,,,8.0
3537,f734900c-7125-492d-a957-843ee90cb004,https://edi.kontur.ru/Monitoring/TaskChainList/Document/388e03ce-c05c-11ec-9068-a5d97601c886,,8.0,,,,8.0
3538,f734900c-7125-492d-a957-843ee90cb004,https://edi.kontur.ru/Monitoring/TaskChainList/Document/6b91d495-bc9c-11ec-a99b-511a1fc7cc28,,8.0,,,,8.0
3539,f734900c-7125-492d-a957-843ee90cb004,https://edi.kontur.ru/Monitoring/TaskChainList/Document/6f925797-b5a6-11ec-9913-d1d087c75a97,,8.0,,,,8.0
3540,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/42cf09ab-b4a0-11ec-9a7a-2bd82d09bcca,,,9.0,,,9.0
3541,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/63fd3af2-b411-11ec-9022-ca59e8772a68,,,9.0,,,9.0
3542,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/601ed9cc-c150-11ec-ba88-af40f5d08da6,,,9.0,,,9.0
3543,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/f5c569b7-b655-11ec-b18d-e52034915b9c,,,,,9.0,9.0
3544,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/a40e9c44-b646-11ec-b6b9-9756ceb55f3b,,,,,9.0,9.0
3545,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/9b34d77e-bef4-11ec-99ff-57d8c9bf45cb,,,9.0,,,9.0
3546,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/e69953f5-b98c-11ec-be55-82c9f8fa5eae,,,9.0,,,9.0
3547,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/1d48a950-b67a-11ec-a831-f3d47f154069,,,9.0,,,9.0
3548,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/5103196a-bcc5-11ec-b137-1198100a43d6,,,,1.0,8.0,9.0
3549,fb7d9227-9e8f-40c5-9cb3-147cd6ee8c59,https://edi.kontur.ru/Monitoring/TaskChainList/Document/80bbb010-c20f-11ec-a06e-813828561981,,,9.0,,,9.0
3550,0bd1446e-9fb6-4788-8d53-cbc9ddba80e6,https://edi.kontur.ru/Monitoring/TaskChainList/Document/1856abda-c0ba-11ec-8ee9-06a78832f30a,,,9.0,,,9.0
3551,18e9cc1e-8644-4e03-bded-18d81528bde2,https://edi.kontur.ru/Monitoring/TaskChainList/Document/539ce3a9-bc7f-11ec-9042-20094f3d2471,,,9.0,,,9.0
3552,1d76843a-6800-43bc-97ea-50141a79724e,https://edi.kontur.ru/Monitoring/TaskChainList/Document/2811592d-baef-11ec-874d-93de66049844,,,9.0,,,9.0
3553,1d76843a-6800-43bc-97ea-50141a79724e,https://edi.kontur.ru/Monitoring/TaskChainList/Document/58d0c144-b963-11ec-8cfd-473762c966be,,,9.0,,,9.0
3554,1fb52124-d2a6-4971-930c-3b650fb639f9,https://edi.kontur.ru/Monitoring/TaskChainList/Document/6abb7742-b749-11ec-b4d3-41b35ecb2184,,,9.0,,,9.0
3555,1fb52124-d2a6-4971-930c-3b650fb639f9,https://edi.kontur.ru/Monitoring/TaskChainList/Document/4a2740e1-b747-11ec-b922-9c6b83c78d82,,,9.0,,,9.0
3556,2a5a7980-6fb9-4fe2-9d18-0100cf188503,https://edi.kontur.ru/Monitoring/TaskChainList/Document/d88b059e-b72c-11ec-9278-42d109b95abe,,,9.0,,,9.0
3557,2a5a7980-6fb9-4fe2-9d18-0100cf188503,https://edi.kontur.ru/Monitoring/TaskChainList/Document/9d0a8e0f-b71e-11ec-96c5-d38dd43f9377,,,9.0,,,9.0
3558,363e325b-060f-4fec-abc1-b7a298a0c06e,https://edi.kontur.ru/Monitoring/TaskChainList/Document/951fa006-b579-11ec-bb20-d2bc7c2818e8,,,9.0,,,9.0
3559,50451b5d-22fd-4811-8e39-8bc73ac18b2e,https://edi.kontur.ru/Monitoring/TaskChainList/Document/1ec44af7-b4e2-11ec-81e4-11573e809c01,,,9.0,,,9.0
3560,50451b5d-22fd-4811-8e39-8bc73ac18b2e,https://edi.kontur.ru/Monitoring/TaskChainList/Document/d9308078-b4e0-11ec-8c5d-eb5e0a546012,,,9.0,,,9.0
3561,523d8f8c-4636-4b6e-b6a9-51c84d33b4ff,https://edi.kontur.ru/Monitoring/TaskChainList/Document/5a61bdb0-b4e0-11ec-9015-19168f6cde59,,,9.0,,,9.0
3562,523d8f8c-4636-4b6e-b6a9-51c84d33b4ff,https://edi.kontur.ru/Monitoring/TaskChainList/Document/45874126-b4e0-11ec-9a4c-9aa14daad257,,,9.0,,,9.0
3563,523d8f8c-4636-4b6e-b6a9-51c84d33b4ff,https://edi.kontur.ru/Monitoring/TaskChainList/Document/01916965-b424-11ec-a6f8-fb6c4eee59e5,,,9.0,,,9.0
3564,523d8f8c-4636-4b6e-b6a9-51c84d33b4ff,https://edi.kontur.ru/Monitoring/TaskChainList/Document/0570be3b-b1a4-11ec-8c2d-4108fc3a8ff4,,,9.0,,,9.0
3565,523d8f8c-4636-4b6e-b6a9-51c84d33b4ff,https://edi.kontur.ru/Monitoring/TaskChainList/Document/87c30820-b1a1-11ec-9108-ea6c4c21b95a,,,9.0,,,9.0
3566,6f2b418e-d75c-4b3d-8897-eca5df9f830b,https://edi.kontur.ru/Monitoring/TaskChainList/Document/3d50d4de-c165-11ec-8d6e-20c43266b0ac,,,6.0,3.0,,9.0
3567,a154509a-0e99-47ac-8cb5-b55e3a05f611,https://edi.kontur.ru/Monitoring/TaskChainList/Document/c9e0b605-b997-11ec-9bef-3464133c8694,,,6.0,3.0,,9.0
3568,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/7eaebeb0-bafe-11ec-815c-3c10414c923b,,9.0,,,,9.0
3569,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/3cdafffa-bafe-11ec-bbbf-477d34a17cb6,,9.0,,,,9.0
3570,ae122ab5-20ac-4faf-88bd-dd484b6d5318,https://edi.kontur.ru/Monitoring/TaskChainList/Document/6e08cd3a-b643-11ec-99c7-689ca9d18866,,,9.0,,,9.0
3571,b985906b-c6f1-4bed-ba9b-1310caef0896,https://edi.kontur.ru/Monitoring/TaskChainList/Document/1f3abab5-b4d6-11ec-82dc-1056aa0ade38,,,9.0,,,9.0
3572,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/aee872b1-c22e-11ec-9ebc-dcd7c56c586e,,9.0,,1.0,,10.0
3573,b99dfb6c-55eb-4315-bbe0-402d599c222a,https://edi.kontur.ru/Monitoring/TaskChainList/Document/9a663274-c228-11ec-b105-a848d9fb5e62,,9.0,,1.0,,10.0
3574,ba16e539-8ca6-4c8a-b268-a2b4f77e5270,https://edi.kontur.ru/Monitoring/TaskChainList/Document/7919910f-b3fd-11ec-92e6-f8be54b779c6,,,,,10.0,10.0
